date,total_visits,total_bounces,bounce_per_visit
20160928,2535,1189,0.4690335305719921
20160929,2597,1214,0.46746245668078551
20160930,2303,1151,0.49978289188015634
20161001,1589,838,0.527375707992448
20161002,1724,829,0.48085846867749421
20161003,2514,1150,0.45743834526650756
20161004,4322,1867,0.43197593706617304
20161005,3770,1664,0.44137931034482758
20161006,3016,1416,0.46949602122015915
20161007,2892,1364,0.47164591977869985
20161008,2114,1081,0.511352885525071
20161009,2134,1065,0.49906279287722588
20161010,2911,1415,0.48608725523874957
20161011,2850,1387,0.48666666666666669
20161012,2871,1374,0.4785788923719958
20161013,2964,1504,0.50742240215924428
20161014,2838,1459,0.51409443269908384
20161015,2495,1437,0.57595190380761518
20161016,2649,1534,0.57908644771611928
20161017,3397,1915,0.56373270532823083
20161018,3628,2016,0.55567805953693494
20161019,3544,1945,0.54881489841986453
20161020,3755,2081,0.55419440745672433
20161021,3419,1901,0.55601052939455986
20161022,3029,1813,0.59854737537140967
20161023,2971,1734,0.583641871423763
20161024,4063,2333,0.57420625153827221
20161025,3842,2203,0.5733992712129099
20161026,4375,2528,0.57782857142857147
20161027,4162,2417,0.58073041806823644
20161028,3791,2257,0.59535742548140336
20161029,2964,1873,0.63191632928475039
20161030,3086,1890,0.61244329228775118
20161031,3827,2323,0.60700287431408417
20161101,3728,2163,0.58020386266094426
20161102,3960,2325,0.58712121212121215
20161103,4014,2315,0.57673143996013954
20161104,3596,2119,0.589265850945495
20161105,3042,1841,0.60519395134779752
20161106,3232,1943,0.60117574257425743
20161107,3832,2246,0.58611691022964507
20161108,3899,2356,0.60425750192357019
20161109,3752,2257,0.601545842217484
20161110,4055,2212,0.54549938347718863
20161111,3588,1722,0.479933110367893
20161112,3119,1530,0.49054184033344023
20161113,3144,1518,0.48282442748091603
20161114,4466,2061,0.46148678907299595
20161115,4685,2092,0.44653148345784416
20161116,4334,2009,0.46354407014305493
20161117,4074,1833,0.44992636229749633
20161118,3654,1776,0.48604269293924468
20161119,2984,1463,0.4902815013404826
20161120,3247,1489,0.45857714813674161
20161121,4143,1911,0.46125995655322233
20161122,3942,1859,0.47158802638254693
20161123,3805,1765,0.46386333771353483
20161124,3770,1839,0.48779840848806366
20161125,3759,1783,0.47432827879755252
20161126,3213,1561,0.485838779956427
20161127,3356,1539,0.45858164481525626
20161128,4807,1995,0.41501976284584979
20161129,4337,1974,0.45515333179617246
20161130,4435,2023,0.45614430665163475
20161201,4200,1875,0.44642857142857145
20161202,3751,1682,0.44841375633164487
20161203,3044,1378,0.45269382391590013
20161204,3220,1458,0.45279503105590063
20161205,4265,1874,0.43939038686987103
20161206,3021,1246,0.41244620986428338
20161207,2840,1206,0.42464788732394365
20161208,3013,1285,0.42648523066710919
20161209,2830,1188,0.41978798586572436
20161210,2207,977,0.44268237426370638
20161211,2208,1019,0.46150362318840582
20161212,3433,1458,0.42470142732304106
20161213,3166,1398,0.441566645609602
20161214,3040,1301,0.42796052631578946
20161215,2937,1245,0.42390194075587334
20161216,2956,1275,0.43132611637347767
20161217,2324,1091,0.46944922547332185
20161218,2128,990,0.46522556390977443
